"cnty_fips","display_name","Value","theme_range","airqual","PARKS","sev_housing"
48071,"""Chambers, (TX)""",123.4,"108.7 - 131.0 (582)",9.9,9,11
48073,"""Cherokee, (TX)""",113,"108.7 - 131.0 (582)",10,15,16.7
48081,"""Coke, (TX)""",-1,,7.5,8,10.1
48083,"""Coleman, (TX)""",146.9,"131.1 - 349.8 (586)",7.8,2,13.1
48089,"""Colorado, (TX)""",130.8,"108.7 - 131.0 (582)",9.7,8,11.6
48091,"""Comal, (TX)""",82.9,"76.0 - 91.3 (584)",10.2,15,14.8
48093,"""Comanche, (TX)""",168.8,"131.1 - 349.8 (586)",8.4,0,16.4
48095,"""Concho, (TX)""",-1,,7.5,4,5.4
48099,"""Coryell, (TX)""",125.5,"108.7 - 131.0 (582)",9.5,7,11.4
48103,"""Crane, (TX)""",-1,,7.1,72,15.5
48105,"""Crockett, (TX)""",311,"131.1 - 349.8 (586)",7.3,0,12.3
48109,"""Culberson, (TX)""",-1,,5.9,1,17.2
48123,"""DeWitt, (TX)""",105.7,"91.4 - 108.6 (588)",9.6,21,14
48127,"""Dimmit, (TX)""",69,"28.0 - 75.9 (591)",8.1,33,16.8
48131,"""Duval, (TX)""",143.6,"131.1 - 349.8 (586)",8.5,13,18.4
48135,"""Ector, (TX)""",156.8,"131.1 - 349.8 (586)",7.8,54,17.1
48137,"""Edwards, (TX)""",-1,,7.3,0,9.3
48141,"""El Paso, (TX)""",80.4,"76.0 - 91.3 (584)",9.5,52,19.6
48145,"""Falls, (TX)""",135.2,"131.1 - 349.8 (586)",10,18,16.1
48149,"""Fayette, (TX)""",132.8,"131.1 - 349.8 (586)",9.6,22,12
48157,"""Fort Bend, (TX)""",63.2,"28.0 - 75.9 (591)",11.7,14,14.8
48161,"""Freestone, (TX)""",118.3,"108.7 - 131.0 (582)",10,14,13.3
48163,"""Frio, (TX)""",153,"131.1 - 349.8 (586)",8.7,33,23.9
