"cnty_fips","display_name","Value","theme_range","ou_cost"
48261,"""Kenedy, (TX)""",209.8,"204.2 - 242.8 (644)",-9999
48265,"""Kerr, (TX)""",148.5,"26.6 - 148.6 (644)",2942
48267,"""Kimble, (TX)""",224.8,"204.2 - 242.8 (644)",5299
48271,"""Kinney, (TX)""",157.8,"148.7 - 175.5 (644)",4665
48273,"""Kleberg, (TX)""",299.9,"242.9 - 651.5 (644)",2045
48281,"""Lampasas, (TX)""",159,"148.7 - 175.5 (644)",4929
48283,"""La Salle, (TX)""",216,"204.2 - 242.8 (644)",2389
48285,"""Lavaca, (TX)""",252.7,"242.9 - 651.5 (644)",5720
48287,"""Lee, (TX)""",158.6,"148.7 - 175.5 (644)",3418
48289,"""Leon, (TX)""",141.9,"26.6 - 148.6 (644)",3358
48291,"""Liberty, (TX)""",314.6,"242.9 - 651.5 (644)",3306
