"cnty_fips","display_name","Value","theme_range","dm_prev_adj","ob_prev_adj","ltpia_prev_adj"
49029,"""Morgan, (UT)""",133.6,"26.6 - 148.6 (644)",3.4,18.1,16.8
49031,"""Piute, (UT)""",151.7,"148.7 - 175.5 (644)",5.8,25.9,22.4
49033,"""Rich, (UT)""",133.8,"26.6 - 148.6 (644)",11.2,25.1,28.7
49035,"""Salt Lake, (UT)""",123.5,"26.6 - 148.6 (644)",7.2,24.7,18.1
49037,"""San Juan, (UT)""",131.9,"26.6 - 148.6 (644)",11.2,35.2,22.4
49039,"""Sanpete, (UT)""",139.8,"26.6 - 148.6 (644)",7.5,30.6,23.7
49041,"""Sevier, (UT)""",144.5,"26.6 - 148.6 (644)",8,29.3,23.3
49043,"""Summit, (UT)""",115.2,"26.6 - 148.6 (644)",3.6,13.8,13.5
49045,"""Tooele, (UT)""",122.5,"26.6 - 148.6 (644)",11.6,34.1,24.3
49047,"""Uintah, (UT)""",156.2,"148.7 - 175.5 (644)",10.3,35.2,24.4
49049,"""Utah, (UT)""",121,"26.6 - 148.6 (644)",7.5,25.8,16.6
49051,"""Wasatch, (UT)""",125.4,"26.6 - 148.6 (644)",5,23.5,16.4
49053,"""Washington, (UT)""",101.8,"26.6 - 148.6 (644)",6.7,23.5,17.9
49055,"""Wayne, (UT)""",147.2,"26.6 - 148.6 (644)",6.6,20.9,17.2
49057,"""Weber, (UT)""",149.2,"148.7 - 175.5 (644)",7.7,31.2,20.2
56003,"""Big Horn, (WY)""",209,"204.2 - 242.8 (644)",11.1,32.5,26.6
56007,"""Carbon, (WY)""",149.2,"148.7 - 175.5 (644)",6.5,30,27.7
56013,"""Fremont, (WY)""",183.2,"175.6 - 204.1 (644)",8.5,29.4,24.9
56017,"""Hot Springs, (WY)""",180.9,"175.6 - 204.1 (644)",10.7,33.4,24.9
56023,"""Lincoln, (WY)""",140,"26.6 - 148.6 (644)",6.8,26.2,22.3
56025,"""Natrona, (WY)""",178.7,"175.6 - 204.1 (644)",7.9,31.8,24.4
56029,"""Park, (WY)""",137.7,"26.6 - 148.6 (644)",7.1,25.1,21.9
56035,"""Sublette, (WY)""",133.7,"26.6 - 148.6 (644)",7.8,29.7,21.4
56037,"""Sweetwater, (WY)""",187.6,"175.6 - 204.1 (644)",8.7,29.5,25
56039,"""Teton, (WY)""",78.3,"26.6 - 148.6 (644)",2.1,12.3,11.5
56041,"""Uinta, (WY)""",153.3,"148.7 - 175.5 (644)",10.5,35.6,26.6
56043,"""Washakie, (WY)""",149.5,"148.7 - 175.5 (644)",9.3,28.7,26.5
22031,"""De Soto, (LA)""",177.5,"175.6 - 204.1 (644)",15.4,38,31.6
48001,"""Anderson, (TX)""",202.1,"175.6 - 204.1 (644)",9.9,36.5,22.8
48005,"""Angelina, (TX)""",228.3,"204.2 - 242.8 (644)",12.7,41,33.5
48007,"""Aransas, (TX)""",240.8,"204.2 - 242.8 (644)",15.4,41.6,33.9
48013,"""Atascosa, (TX)""",202.5,"175.6 - 204.1 (644)",16,36.7,31.3
48015,"""Austin, (TX)""",237.1,"204.2 - 242.8 (644)",8.6,31.5,27.8
48019,"""Bandera, (TX)""",167.7,"148.7 - 175.5 (644)",5.9,28.6,25.4
48021,"""Bastrop, (TX)""",167.8,"148.7 - 175.5 (644)",10.4,38.2,23.2
48025,"""Bee, (TX)""",192.6,"175.6 - 204.1 (644)",13.6,30.6,21.8
48027,"""Bell, (TX)""",192.1,"175.6 - 204.1 (644)",11.7,34.9,23.3
48029,"""Bexar, (TX)""",174.5,"148.7 - 175.5 (644)",8.5,28.5,23.4
48031,"""Blanco, (TX)""",131,"26.6 - 148.6 (644)",9.4,28.3,25.3
48035,"""Bosque, (TX)""",267.7,"242.9 - 651.5 (644)",7.9,32,25.1
