"cnty_fips","display_name","Value","theme_range","prev_hd"
48051,"""Burleson, (TX)""",293.5,"242.9 - 651.5 (644)",39
48053,"""Burnet, (TX)""",127.7,"26.6 - 148.6 (644)",35.5
48055,"""Caldwell, (TX)""",226.3,"204.2 - 242.8 (644)",41.7
48057,"""Calhoun, (TX)""",218.1,"204.2 - 242.8 (644)",38.5
48061,"""Cameron, (TX)""",211.5,"204.2 - 242.8 (644)",38.8
48071,"""Chambers, (TX)""",221.3,"204.2 - 242.8 (644)",43.6
48073,"""Cherokee, (TX)""",220.7,"204.2 - 242.8 (644)",39.2
48081,"""Coke, (TX)""",139.1,"26.6 - 148.6 (644)",43.3
48083,"""Coleman, (TX)""",270.4,"242.9 - 651.5 (644)",36
48089,"""Colorado, (TX)""",249.4,"242.9 - 651.5 (644)",41.1
48091,"""Comal, (TX)""",165.9,"148.7 - 175.5 (644)",36.5
48093,"""Comanche, (TX)""",303,"242.9 - 651.5 (644)",36.4
48095,"""Concho, (TX)""",166.2,"148.7 - 175.5 (644)",42.7
48099,"""Coryell, (TX)""",238.6,"204.2 - 242.8 (644)",38.9
48103,"""Crane, (TX)""",217.4,"204.2 - 242.8 (644)",43.1
48105,"""Crockett, (TX)""",495.7,"242.9 - 651.5 (644)",38.1
48109,"""Culberson, (TX)""",211.2,"204.2 - 242.8 (644)",32.8
48123,"""DeWitt, (TX)""",205.3,"204.2 - 242.8 (644)",42.5
48127,"""Dimmit, (TX)""",156.3,"148.7 - 175.5 (644)",42.9
48131,"""Duval, (TX)""",260.7,"242.9 - 651.5 (644)",53.5
48135,"""Ector, (TX)""",305.2,"242.9 - 651.5 (644)",40.1
48137,"""Edwards, (TX)""",181.2,"175.6 - 204.1 (644)",32.6
48141,"""El Paso, (TX)""",157,"148.7 - 175.5 (644)",29
48145,"""Falls, (TX)""",226.6,"204.2 - 242.8 (644)",38.1
48149,"""Fayette, (TX)""",250.4,"242.9 - 651.5 (644)",41.4
48157,"""Fort Bend, (TX)""",124.2,"26.6 - 148.6 (644)",38.6
48161,"""Freestone, (TX)""",232.7,"204.2 - 242.8 (644)",36.4
48163,"""Frio, (TX)""",250.3,"242.9 - 651.5 (644)",39.6
48167,"""Galveston, (TX)""",162.4,"148.7 - 175.5 (644)",39.1
48171,"""Gillespie, (TX)""",165.7,"148.7 - 175.5 (644)",29.3
48173,"""Glasscock, (TX)""",260.8,"242.9 - 651.5 (644)",42.6
48175,"""Goliad, (TX)""",193.1,"175.6 - 204.1 (644)",41.1
48177,"""Gonzales, (TX)""",212.9,"204.2 - 242.8 (644)",39.2
48185,"""Grimes, (TX)""",225.9,"204.2 - 242.8 (644)",41.6
48187,"""Guadalupe, (TX)""",198.9,"175.6 - 204.1 (644)",36.7
48193,"""Hamilton, (TX)""",163.6,"148.7 - 175.5 (644)",35.7
48199,"""Hardin, (TX)""",217.4,"204.2 - 242.8 (644)",46.1
48201,"""Harris, (TX)""",171,"148.7 - 175.5 (644)",37.8
48209,"""Hays, (TX)""",148.3,"26.6 - 148.6 (644)",36.4
48215,"""Hidalgo, (TX)""",206.9,"204.2 - 242.8 (644)",42.8
48217,"""Hill, (TX)""",253.7,"242.9 - 651.5 (644)",36
48225,"""Houston, (TX)""",276.8,"242.9 - 651.5 (644)",40.8
48229,"""Hudspeth, (TX)""",160.7,"148.7 - 175.5 (644)",30.8
48235,"""Irion, (TX)""",221.9,"204.2 - 242.8 (644)",39
48239,"""Jackson, (TX)""",219.4,"204.2 - 242.8 (644)",40.7
48241,"""Jasper, (TX)""",239.2,"204.2 - 242.8 (644)",45.7
48243,"""Jeff Davis, (TX)""",139.1,"26.6 - 148.6 (644)",31.5
48245,"""Jefferson, (TX)""",224.5,"204.2 - 242.8 (644)",45.6
48247,"""Jim Hogg, (TX)""",194.5,"175.6 - 204.1 (644)",50.7
48249,"""Jim Wells, (TX)""",362.2,"242.9 - 651.5 (644)",49.6
48255,"""Karnes, (TX)""",216.8,"204.2 - 242.8 (644)",39.4
48259,"""Kendall, (TX)""",173,"148.7 - 175.5 (644)",33.7
48261,"""Kenedy, (TX)""",209.8,"204.2 - 242.8 (644)",26.5
48265,"""Kerr, (TX)""",148.5,"26.6 - 148.6 (644)",31.9
48267,"""Kimble, (TX)""",224.8,"204.2 - 242.8 (644)",33.8
48271,"""Kinney, (TX)""",157.8,"148.7 - 175.5 (644)",37.6
