"cnty_fips","display_name","Value","theme_range","ou_inc"
35043,"""Sandoval, (NM)""",173.6,"148.7 - 175.5 (644)",1472
35045,"""San Juan, (NM)""",160.3,"148.7 - 175.5 (644)",2170
35051,"""Sierra, (NM)""",330.6,"242.9 - 651.5 (644)",2675
35053,"""Socorro, (NM)""",240.4,"204.2 - 242.8 (644)",2373
35061,"""Valencia, (NM)""",195.1,"175.6 - 204.1 (644)",2393
41023,"""Grant, (OR)""",156,"148.7 - 175.5 (644)",3059
41025,"""Harney, (OR)""",138.2,"26.6 - 148.6 (644)",3697
41045,"""Malheur, (OR)""",201.3,"175.6 - 204.1 (644)",2975
49001,"""Beaver, (UT)""",129.7,"26.6 - 148.6 (644)",3822
49003,"""Box Elder, (UT)""",201.6,"175.6 - 204.1 (644)",2476
49005,"""Cache, (UT)""",97.2,"26.6 - 148.6 (644)",2694
49007,"""Carbon, (UT)""",249.4,"242.9 - 651.5 (644)",2051
49009,"""Daggett, (UT)""",153.3,"148.7 - 175.5 (644)",283
49011,"""Davis, (UT)""",132.1,"26.6 - 148.6 (644)",2243
49013,"""Duchesne, (UT)""",155.1,"148.7 - 175.5 (644)",2586
49015,"""Emery, (UT)""",219.5,"204.2 - 242.8 (644)",1601
49017,"""Garfield, (UT)""",138.1,"26.6 - 148.6 (644)",3352
49019,"""Grand, (UT)""",138.4,"26.6 - 148.6 (644)",3585
49021,"""Iron, (UT)""",120.5,"26.6 - 148.6 (644)",2351
49023,"""Juab, (UT)""",120.5,"26.6 - 148.6 (644)",3451
49025,"""Kane, (UT)""",162.1,"148.7 - 175.5 (644)",2839
49027,"""Millard, (UT)""",123,"26.6 - 148.6 (644)",1682
49029,"""Morgan, (UT)""",133.6,"26.6 - 148.6 (644)",2595
49031,"""Piute, (UT)""",151.7,"148.7 - 175.5 (644)",3228
49033,"""Rich, (UT)""",133.8,"26.6 - 148.6 (644)",2398
49035,"""Salt Lake, (UT)""",123.5,"26.6 - 148.6 (644)",2148
49037,"""San Juan, (UT)""",131.9,"26.6 - 148.6 (644)",5243
49039,"""Sanpete, (UT)""",139.8,"26.6 - 148.6 (644)",2489
49041,"""Sevier, (UT)""",144.5,"26.6 - 148.6 (644)",1895
49043,"""Summit, (UT)""",115.2,"26.6 - 148.6 (644)",2858
49045,"""Tooele, (UT)""",122.5,"26.6 - 148.6 (644)",2564
49047,"""Uintah, (UT)""",156.2,"148.7 - 175.5 (644)",2622
49049,"""Utah, (UT)""",121,"26.6 - 148.6 (644)",1807
49051,"""Wasatch, (UT)""",125.4,"26.6 - 148.6 (644)",2983
49053,"""Washington, (UT)""",101.8,"26.6 - 148.6 (644)",2132
49055,"""Wayne, (UT)""",147.2,"26.6 - 148.6 (644)",3072
49057,"""Weber, (UT)""",149.2,"148.7 - 175.5 (644)",2421
56003,"""Big Horn, (WY)""",209,"204.2 - 242.8 (644)",4301
56007,"""Carbon, (WY)""",149.2,"148.7 - 175.5 (644)",2965
56013,"""Fremont, (WY)""",183.2,"175.6 - 204.1 (644)",1721
56017,"""Hot Springs, (WY)""",180.9,"175.6 - 204.1 (644)",4288
56023,"""Lincoln, (WY)""",140,"26.6 - 148.6 (644)",2845
56025,"""Natrona, (WY)""",178.7,"175.6 - 204.1 (644)",1731
56029,"""Park, (WY)""",137.7,"26.6 - 148.6 (644)",4192
56035,"""Sublette, (WY)""",133.7,"26.6 - 148.6 (644)",2146
56037,"""Sweetwater, (WY)""",187.6,"175.6 - 204.1 (644)",3338
56039,"""Teton, (WY)""",78.3,"26.6 - 148.6 (644)",2505
56041,"""Uinta, (WY)""",153.3,"148.7 - 175.5 (644)",2421
56043,"""Washakie, (WY)""",149.5,"148.7 - 175.5 (644)",6148
22031,"""De Soto, (LA)""",177.5,"175.6 - 204.1 (644)",2393
48001,"""Anderson, (TX)""",202.1,"175.6 - 204.1 (644)",1862
48005,"""Angelina, (TX)""",228.3,"204.2 - 242.8 (644)",1869
48007,"""Aransas, (TX)""",240.8,"204.2 - 242.8 (644)",1474
48013,"""Atascosa, (TX)""",202.5,"175.6 - 204.1 (644)",1279
48015,"""Austin, (TX)""",237.1,"204.2 - 242.8 (644)",1872
48019,"""Bandera, (TX)""",167.7,"148.7 - 175.5 (644)",1182
